绘月工坊 重拾,29560822, /2023-05-01,¥48.80, 战斗吧少女 二次元动漫游戏人物战斗风造型教程,人民邮电出版社,https://product.dangdang.com/29560822.html
精英动漫,29378018, /2022-03-01,¥372.40, 精灵梦叶罗丽漫画故事全集（第5-8季）（全24册。国际领先的中国原创女孩动漫品牌。原版动画剧情完整呈现，少年的你不可错过,天地出版社,https://product.dangdang.com/29378018.html
哒哒猫,29548855, /2023-04-01,¥48.90, 动态集 二次元动漫人体素材 单人篇,人民邮电出版社,https://product.dangdang.com/29548855.html
京鼎动漫,29546965, /2023-03-01,¥19.90, 大中华寻宝系列8 浙江寻宝记,二十一世纪出版社,https://product.dangdang.com/29546965.html
"[英]3dtotal.com,公司 著，王睿 译",29613961, /2023-06-01,¥37.00, 动漫素描创意手册-未来概念篇,江苏凤凰美术出版社,https://product.dangdang.com/29613961.html
温巍山 等编著,22512848, /2011-07-01,¥35.30, 动漫速写,东南大学出版社,https://product.dangdang.com/22512848.html
薛峰 等编著,9337474, /2007-05-01,¥21.80, 动漫基础素描范例,上海人民美术出版社,https://product.dangdang.com/9337474.html
卢斌 郑玉明 牛兴侦 主编,23799118, /2015-09-01,¥77.40, 动漫蓝皮书：中国动漫产业发展报告（2015）,社会科学文献出版社,https://product.dangdang.com/23799118.html
刘星、辛祥利,26916100, /2019-03-02,¥48.00, 动漫影视创作——数字音频设计与制作,清华大学出版社,https://product.dangdang.com/26916100.html
卢斌 牛兴侦 郑玉明,24146050, /2016-10-01,¥87.20, 动漫蓝皮书:中国动漫产业发展报告（2016）,社会科学文献出版社,https://product.dangdang.com/24146050.html
正东动漫,27888363, /2019-05-01,¥21.20, 爱国主义教育系列-美绘版-倔强的小红军,北方妇女儿童出版社,https://product.dangdang.com/27888363.html
京鼎动漫,29402351, /2022-05-01,¥31.90, 大中华寻宝系列 秦朝寻宝记,二十一世纪出版社,https://product.dangdang.com/29402351.html
京鼎动漫,29546954, /2023-03-01,¥127.40, 大中华寻宝记（13-16册）,二十一世纪出版社,https://product.dangdang.com/29546954.html
京鼎动漫,29546957, /2023-03-01,¥127.40, 大中华寻宝记（25-28册）,二十一世纪出版社,https://product.dangdang.com/29546957.html
京鼎动漫,29546955, /2023-03-01,¥127.40, 大中华寻宝记（17-20册）,二十一世纪出版社,https://product.dangdang.com/29546955.html
