author,book_id,inputdate,price,title,upaddress,url
咏声动漫著/知音动漫编,1337889936, /2018-12-26,¥6.34, 《猪猪侠超星萌宠？心灵成长故事连环画》（第一辑）孤独星人,中国致公,https://product.dangdang.com/1337889936.html
咏声动漫,1350988836, /2018-10-01,¥8.90, 茶茶猫(不惧失败)/猪猪侠之超星萌宠双语阅读,海天,https://product.dangdang.com/1350988836.html
史建期 著,20482035, /2009-01-01,¥27.00, 外国动漫人物:创作技巧,上海远东,https://product.dangdang.com/20482035.html
奥飞动漫,1851259610, /2016-01-01,¥5.10, 芬兰的大雪球 奥飞动漫 接力出版社 9787544842730,接力出版社,https://product.dangdang.com/1851259610.html
李燕京,11734386117, /2023-01-01,¥35.30, 游戏动漫角色人体结构设计 李燕京 电子工业出版社 【新华书店正版图书书籍】,电子工业出版社,https://product.dangdang.com/11734386117.html
林郦 编,1086045829, /2011-11-01,¥11.60, 大学动漫英语(下册)辅导用书 对外经济贸易大学出版社,对外经济贸易大学出版社,https://product.dangdang.com/1086045829.html
（日）RIKUNO,11036639065, ,¥58.20, 日本动漫绘画中的人物设计 日本漫画人物绘画入门书籍 动漫画入门零基础学习 掌握动漫绘画技巧 画画书 绘画书籍,电子工业出版社,https://product.dangdang.com/11036639065.html
上海新创华文化发展有限公司 编 日本圆谷制作柱式会社 原著,29669238, /2023-11-10,¥13.20, 布莱泽奥特曼大揭秘（下）正版奥特曼系列百科大图鉴新角色布莱泽奥特曼专辑3-6岁儿童绘本少儿动漫故事书,安徽少年儿童出版社,https://product.dangdang.com/29669238.html
武立杰、汪禹,11762002273, /2010-02-01,¥7.26, 国际经典动漫设计教程动画场景设计 武立杰、汪禹,中国青年出版社,https://product.dangdang.com/11762002273.html
韩国 李素菲工作室 著，韩国 布滋动漫 绘,29317772, /2021-10-01,¥33.30, 专注力！世界大发现——神奇的非洲（风靡全球的“Pucca”中国娃娃，带你了解世界各国的文化、历史、地理，7个大洲、24个,福建少年儿童出版社,https://product.dangdang.com/29317772.html
京鼎动漫,11130991544, /2022-04-01,¥18.00, 【现货速发】内蒙古寻宝记29 大中华寻宝记全套最新版29册 漫画系列小学生三四五六年级科普百科书籍恐龙世界新疆海南北京上,二十一世纪,https://product.dangdang.com/11130991544.html
京鼎动漫,11475771911, /2022-02-01,¥59.60, 【新版】恐龙世界寻宝记全套123册全3册闪电幻兽神奇陨石黑水晶柱科学漫画书大中华寻宝记系列6-9-12岁小学生科普百科漫,二十一世纪出版社集团,https://product.dangdang.com/11475771911.html
"张亚杰,唐一帆,牛雪彤 编著",11732769089, /2014-06-01,¥33.45, 色铅笔画动漫100例 Q版篇 张亚杰 唐一帆 牛雪彤 人民邮电出版社【正版】,人民邮电出版社,https://product.dangdang.com/11732769089.html
"(日) 林晃 著, 蔡艳艳 译",11731877109, /2014-12-01,¥151.59, 林晃纸上动漫设计基础技法:我这样画女生 (日) 林晃 蔡艳艳 译 广西美术出版社【正版】,广西美术出版社,https://product.dangdang.com/11731877109.html
奥飞动漫|编者:天代出版,1355717491, /2017-01-01,¥7.05, 荷兰壁画大拯救(双语版MPR)/超级飞侠有声图画故事书,吉林出版集团,https://product.dangdang.com/1355717491.html
咏声动漫,1267898422, /2018-11-01,¥7.50, 萝莉队的战术/猪猪侠竞球小英雄:儿童性格形成关键期识字故事书 晨光出版社,晨光出版社,https://product.dangdang.com/1267898422.html
咏声动漫|编者:晨光数媒,1504601615, /2019-01-01,¥6.30, 儿童性格形成关键期识字故事书(萝莉队的战术)/猪猪侠竞球小英雄,晨光,https://product.dangdang.com/1504601615.html
奥飞动漫|编者:天代出版,1355652191, /2017-01-01,¥7.05, 埃及金字塔探险(双语版MPR)/超级飞侠有声图画故事书,吉林出版集团,https://product.dangdang.com/1355652191.html
精英动漫|编者:书童文化|责编:何明静...,1811365178, /2020-12-01,¥6.79, 花蕾堡探秘/叶罗丽爱与梦想品格故事,四川少儿,https://product.dangdang.com/1811365178.html
奥飞动漫；天代出版,1285536490, /2016-09-01,¥7.05, 孟加拉的水上单车(MPR)/超级飞侠双语图画故事书,吉林出版集团股份有限公司,https://product.dangdang.com/1285536490.html
张观政、唐一帆、牛雪彤,11754153072, /2014-06-01,¥6.17, 色铅笔画动漫100例 美少女篇 【正版书籍】,人民邮电出版社,https://product.dangdang.com/11754153072.html
崔钟雷,11358562173, /2014-08-01,¥7.38, 小笨熊动漫:探寻沧海桑田的时代变革(崔钟雷) 崔钟雷 9787501581610 知识出版社,知识出版社,https://product.dangdang.com/11358562173.html
青井汎,11419807090, /2009-01-08,¥54.25, 现货 宫崎骏的动漫密码 动画漫画 影视写真 宫崎骏漫画书 港台原版图书籍台版正版繁体中文,大地,https://product.dangdang.com/11419807090.html
