ISBM,book_id,isset,kaiben,package,paper,subcategory
 7534256301121,25314755, 是, 32开, 平装-胶订, 胶版纸,经典必读
 9787544199964,29370906, 是, 16开, 平装-胶订, 轻型纸,科幻小说
 9787538878028,25280959, 否, 32开, 平装-胶订, 胶版纸,英国
 9787513933827,29261028, 否, 32开, 平装-胶订, 胶版纸,日本
 9787300286136,29254942, 否, 16开, 平装-胶订, 胶版纸,写作与修辞
 9787559708915,25581911, 否, 32开, 平装-胶订, 胶版纸,经典必读
 9787513930819,29138982, 否, 32开, 平装-胶订, 胶版纸,欧洲
 9772095336241,29713170, 否, 16开, 平装, 轻型纸,轻小说
 9787534296017,25573533, 否, 32开, 平装-胶订, 胶版纸,文学
 9787533956493,27878307, 否, 32开, 平装-胶订, 胶版纸,俄罗斯
 9787544463331,25581822, 否, 16开, 平装-胶订, 胶版纸,文学评论与鉴赏
 9787541164019,29442964, 否, 32开, 平装-胶订, 胶版纸,欧洲
 9787530766606,25270318, 否, 16开, 平装-胶订, 胶版纸,文学
 9787559714435,27901833, 否, 32开, 平装-胶订, 轻型纸,文学
 9787549641901,29702594, 否, 32开, 平装, 胶版纸,侦探/悬疑/推理小说
 9787534624223,23953628, 否, 32开, 平装-胶订, 轻型纸,经典必读
 9787513941112,11327939339, 否, 32开, 平装-胶订, 胶版纸,社会小说
 9787533292485,29226044, 否, 32开, 平装-胶订, 胶版纸,文学
 9787544771238,11493080729, 是, 16开, 平装-胶订, 纯质纸,社会小说
 9787569940923,29233297, 否, 32开, 平装-胶订, 胶版纸,中国现当代随笔
 29399166,29399166, 是, 16开, 平装-胶订, 胶版纸,课外阅读
 9787559672964,29700756, 否, 32开, 精装, 纯质纸,纪实文学
 9787533949761,25200708, 否, 16开, 平装-胶订, 胶版纸,中国当代小说
 9787530664261,23417751, 否, 16开, 平装, 胶版纸,中国
 9787532189052,29712899, 否, 32开, 平装, 书写纸,文学理论
 9787567540217,29578314, 否, 16开, 平装, 胶版纸,学科教学
 9787541477676,29589200, 否, 32开, 平装-胶订, 胶版纸,文学
 9787530767573,26289116, 否, 32开, 平装-胶订, 胶版纸,文学
 9787305262777,29588086, 否, 32开, 平装-胶订, 胶版纸,文学理论
 9787541470547,23711770, 否, 32开, 平装-胶订, 轻型纸,文学
 9787020179374,29561769, 否, 32开, 精装, 胶版纸,文学评论与鉴赏
 9787530763537,29472407, 否, 32开, 平装-胶订, 胶版纸,文学
 9787530764510,29445827, 否, 32开, 平装-胶订, 胶版纸,文学
 9787530749890,29303679, 否, 32开, 平装-胶订, 胶版纸,文学
 9787541156113,28526107, 否, 32开, 平装-胶订, 胶版纸,科幻小说
 9787570233786,29671974, 否, 16开, 平装, 胶版纸,中国当代小说
 9787530219331,27940313, 是, 32开, 精装, 轻型纸,社会小说
 9787530772140,29247277, 否, 16开, 平装-胶订, 胶版纸,文学
 9787505750364,29199743, 否, 32开, 平装-胶订, 胶版纸,课外阅读
 9787201097213,23858305, 否, 32开, 平装-胶订, 轻型纸,中国近现代小说
 9787530764121,29429432, 否, 16开, 平装-胶订, 胶版纸,文学
 7534210116121,25579864, 是, 32开, 平装-胶订, 胶版纸,经典必读
 9787530768112,29491097, 否, 32开, 平装-胶订, 胶版纸,文学
 ,12100012777, 否, , , ,其他国家
 9787572702600,29368811, 否, 大32开, 精装, 特种纸,科幻小说
 9787301284759,25179560, 否, 32开, 平装-胶订, 胶版纸,中国当代小说
