十二怒汉,Sidney Lumet, 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti,1957,美国,剧情,9.4,513938
哈尔的移动城堡,宫崎骏 Hayao Miyazaki, 倍赏千惠子 Chieko Baishô / 木村拓,2004,日本,爱情 动画 奇幻 冒险,9.1,1066843
让子弹飞,姜文 Wen Jiang, 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F,2010,中国大陆 中国香港,剧情 喜剧 动作 西部,9.0,1759714
何以为家,娜丁·拉巴基 Nadine Labaki, 扎因·拉费阿 Zain al-Rafeea / ,2018,黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国,剧情,9.1,1079596
摔跤吧！爸爸,涅提·蒂瓦里 Nitesh Tiwari, 阿米尔·汗 Aamir Khan / 法缇玛,2016,印度,剧情 传记 运动 家庭,9.0,1616943
猫鼠游戏,史蒂文·斯皮尔伯格 Steven Spielberg, 莱昂纳多·迪卡普里奥 L,2002,美国 加拿大,传记 犯罪 剧情,9.1,1075762
天空之城,宫崎骏 Hayao Miyazaki, 田中真弓 Mayumi Tanaka / 横泽启子 Ke,1986,日本,动画 奇幻 冒险,9.2,911894
鬼子来了,姜文 Wen Jiang, 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /,2000,中国大陆,剧情 喜剧,9.3,650271
海蒂和爷爷,阿兰·葛斯彭纳 Alain Gsponer, 阿努克·斯特芬 Anuk Steffen /,2015,德国 瑞士,剧情 冒险 家庭,9.3,658519
少年派的奇幻漂流,李安 Ang Lee, 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan,2012,美国 中国台湾 英国 加拿大,剧情 奇幻 冒险,9.1,1388717
钢琴家,罗曼·波兰斯基 Roman Polanski, 艾德里安·布洛迪 Adrien Brod,2002,英国 法国 波兰 德国,剧情 传记 战争 音乐,9.3,670539
大话西游之月光宝盒,刘镇伟 Jeffrey Lau, 周星驰 Stephen Chow / 吴孟达 Man Tat Ng,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,9.0,1259120
指环王2：双塔奇兵,彼得·杰克逊 Peter Jackson, 伊利亚·伍德 Elijah Wood / 西恩,2002,美国 新西兰,剧情 动作 奇幻 冒险,9.2,781917
闻香识女人,马丁·布莱斯 Martin Brest, 阿尔·帕西诺 Al Pacino / 克里斯,1992,美国,剧情,9.1,923665
死亡诗社,彼得·威尔 Peter Weir, 罗宾·威廉姆斯 Robin Williams / 罗伯,1989,美国,剧情,9.2,763055
绿皮书,彼得·法雷里 Peter Farrelly, 维果·莫腾森 Viggo Mortensen /,2018,美国 中国大陆,剧情 喜剧 传记 音乐,8.9,1714574
罗马假日,威廉·惠勒 William Wyler, 奥黛丽·赫本 Audrey Hepburn / 格,1953,美国,喜剧 剧情 爱情,9.1,977233
大闹天宫,万籁鸣 Laiming Wan, 邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆),中国大陆,剧情 动画 奇幻 古装,9.4,457444
天堂电影院,朱塞佩·托纳多雷 Giuseppe Tornatore, 菲利普·努瓦雷 Philipp,1988,意大利 法国,剧情 爱情,9.2,696235
黑客帝国,安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski, 伊利亚·伍德 Elijah Wood / 西恩,2001,新西兰 美国,剧情 动作 奇幻 冒险,9.1,877981
教父2,弗朗西斯·福特·科波拉 Francis Ford Coppola, 阿尔·帕西诺 A,1974,美国,剧情 犯罪,9.3,575335
狮子王,Roger Allers / 罗伯·明可夫 Rob Minkoff, 乔纳森·泰勒·托马,1994,美国,动画 冒险 歌舞,9.1,876844
辩护人,杨宇硕 Woo-seok Yang, 宋康昊 Kang-ho Song / 金英爱 Yeong-ae,2013,韩国,剧情,9.2,608957
饮食男女,李安 Ang Lee, 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴,1994,中国台湾 美国,剧情 家庭,9.2,646205
搏击俱乐部,大卫·芬奇 David Fincher, 爱德华·诺顿 Edward Norton / 布拉,1999,美国,剧情 动作 悬疑 惊悚,9.0,877226
本杰明·巴顿奇事,大卫·芬奇 David Fincher, 凯特·布兰切特 Cate Blanchett / ,2008,美国,剧情 爱情 奇幻,9.0,1017783
美丽心灵,朗·霍华德 Ron Howard, 罗素·克劳 Russell Crowe / 艾德·哈,2001,美国,传记 剧情,9.1,793794
穿条纹睡衣的男孩,马克·赫尔曼 Mark Herman, 阿萨·巴特菲尔德 Asa Butterfield ,2008,英国 美国,剧情 战争,9.2,588082
窃听风暴,弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck, 中山美穗 Miho Nakayama / 丰川悦司 Ets,1995,日本,剧情 爱情,8.9,1162511
两杆大烟枪,盖·里奇 Guy Ritchie, 杰森·弗莱明 Jason Flemyng / 德克斯特,1998,英国,剧情 喜剧 犯罪,9.1,615909
西西里的美丽传说,朱塞佩·托纳多雷 Giuseppe Tornatore, 莫妮卡·贝鲁奇 Monica ,2000,意大利 美国,剧情 战争 情色,8.9,1008665
音乐之声,罗伯特·怀斯 Robert Wise, 朱莉·安德鲁斯 Julie Andrews / 克,1965,美国,剧情 传记 爱情 歌舞,9.1,624927
看不见的客人,奥里奥尔·保罗 Oriol Paulo, 马里奥·卡萨斯 Mario Casas / 阿,2016,西班牙,剧情 犯罪 悬疑 惊悚,8.8,1319857
阿凡达,詹姆斯·卡梅隆 James Cameron, 萨姆·沃辛顿 Sam Worthington ,2009,美国,动作 科幻 冒险,8.8,1465840
哈利·波特与死亡圣器(下),大卫·叶茨 David Yates, 丹尼尔·雷德克里夫 Daniel Radcliffe,2011,美国 英国,奇幻 冒险,9.0,866914
拯救大兵瑞恩,史蒂文·斯皮尔伯格 Steven Spielberg, 汤姆·汉克斯 Tom Hanks,1998,美国,剧情 战争,9.1,668774
飞越疯人院,米洛斯·福尔曼 Miloš Forman, 杰克·尼科尔森 Jack Nichols,1975,美国,剧情,9.1,563426
小鞋子,马基德·马基迪 Majid Majidi, 默罕默德·阿米尔·纳吉 Mohamma,1997,伊朗,剧情 儿童 家庭,9.2,425098
沉默的羔羊,乔纳森·戴米 Jonathan Demme, 朱迪·福斯特 Jodie Foster / 安,1991,美国,剧情 犯罪 惊悚,8.9,924642
功夫,周星驰 Stephen Chow, 周星驰 Stephen Chow / 元秋 Qiu Yuen / ,2004,中国大陆 中国香港,动作 喜剧 犯罪 奇幻,8.8,1188728
布达佩斯大饭店,韦斯·安德森 Wes Anderson, 拉尔夫·费因斯 Ralph Fiennes / ,2014,美国 德国 英国,剧情 喜剧 冒险,8.9,980890
禁闭岛,Martin Scorsese, 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ,2010,美国,剧情 悬疑 惊悚,8.9,1015712
蝴蝶效应,埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber, 丹尼尔·雷德克里夫 Daniel Radcliffe / Emma,2004,英国 美国,奇幻 冒险,9.0,769535
致命魔术,克里斯托弗·诺兰 Christopher Nolan, 休·杰克曼 Hugh Jackman,2006,英国 美国,剧情 悬疑 惊悚,8.9,890274
心灵捕手,格斯·范·桑特 Gus Van Sant, 马特·达蒙 Matt Damon / 罗宾·,1997,美国,剧情,8.9,743558
超脱,托尼·凯耶 Tony Kaye, 艾德里安·布洛迪 Adrien Brody / 马西,2011,美国,剧情,9.0,635678
低俗小说,昆汀·塔伦蒂诺 Quentin Tarantino, 约翰·特拉沃尔塔 John Tra,1994,美国,剧情 喜剧 犯罪,8.9,865780
摩登时代,查理·卓别林 Charles Chaplin, 查理·卓别林 Charles Chaplin ,1936,美国,剧情 喜剧 爱情,9.3,313996
海豚湾,路易·西霍尤斯 Louie Psihoyos, 路易·西霍尤斯 Louie Psihoyo,2009,美国,纪录片,9.3,364542
春光乍泄,王家卫 Kar Wai Wong, 张国荣 Leslie Cheung / 梁朝伟 Tony Leu,1997,中国香港 日本 韩国,剧情 爱情 同性,9.0,654651
