area,company_name,detail_url,id,job_exp,job_name,job_price,need_EB
北京·大兴·荣华街道,北京中软环球信息技术有限公司,http://jobs.zhaopin.com/CC281743630J40615842315.htm?refcode=4019&srccode=401901&preactionid=dad135dd-6c60-427c-81a9-fd4e96478678,25,5-10年,中高级java工程师,1.5万-1.8万,本科
北京·大兴·荣华街道,北京国信鸿思科技有限公司,http://jobs.zhaopin.com/CC689773120J40234611113.htm?refcode=4019&srccode=401901&preactionid=dad135dd-6c60-427c-81a9-fd4e96478678,26,经验不限,Java开发工程师,1万-2万,本科
北京·大兴·荣华街道,北京智慧星光信息技术股份有限公司,http://jobs.zhaopin.com/CC467352910J40584634508.htm?refcode=4019&srccode=401901&preactionid=dad135dd-6c60-427c-81a9-fd4e96478678,27,1-3年,Java数据处理工程师(J10277),1.5万-2.5万,本科
北京·大兴·荣华街道,天阳科技,http://jobs.zhaopin.com/CC120408370J40316613208.htm?refcode=4019&srccode=401901&preactionid=dad135dd-6c60-427c-81a9-fd4e96478678,28,5-10年,Java开发工程师,1.4万-2.2万,本科
北京·西城·金融街,北京科迈网通讯技术有限公司,http://jobs.zhaopin.com/CC340293310J40572570405.htm?refcode=4019&srccode=401901&preactionid=299ad464-9c3c-4b4f-9631-2feb6e81cd75,29,3-5年,Java开发（中级）,1万-1.6万,本科
北京·大兴·荣华街道,北京国信鸿思科技有限公司,http://jobs.zhaopin.com/CC689773120J40412943513.htm?refcode=4019&srccode=401901&preactionid=dad135dd-6c60-427c-81a9-fd4e96478678,30,无经验,java后端开发工程师,150-200/天,本科
北京·大兴·荣华街道,合力亿捷,http://jobs.zhaopin.com/CC000602700J40422006810.htm?refcode=4019&srccode=401901&preactionid=dad135dd-6c60-427c-81a9-fd4e96478678,31,无经验,实习java工程师,180-200/天,本科
北京·西城·金融街,北京数字科怡科技发展有限公司,http://jobs.zhaopin.com/CC135234700J40164760902.htm?refcode=4019&srccode=401901&preactionid=299ad464-9c3c-4b4f-9631-2feb6e81cd75,32,5-10年,Java开发工程师,1.2万-2万,本科
北京·西城·金融街,北京联合盈鑫信息技术有限公司,http://jobs.zhaopin.com/CC383455420J40671560815.htm?refcode=4019&srccode=401901&preactionid=299ad464-9c3c-4b4f-9631-2feb6e81cd75,33,3-5年,java软件开发工程师,1.1万-1.4万,本科
北京·西城·金融街,深圳市法本信息技术股份有限公司,http://jobs.zhaopin.com/CC385622410J40546900406.htm?refcode=4019&srccode=401901&preactionid=299ad464-9c3c-4b4f-9631-2feb6e81cd75,34,5-10年,Java开发工程师（北京）,1.8万-2.1万,本科
北京·西城·金融街,北京鑫物科技有限公司,http://jobs.zhaopin.com/CCL1266972650J40563227212.htm?refcode=4019&srccode=401901&preactionid=299ad464-9c3c-4b4f-9631-2feb6e81cd75,35,5-10年,java工程师,1.8万-1.9万,本科
北京·西城·金融街,外企德科,http://jobs.zhaopin.com/CC138117190J40549836805.htm?refcode=4019&srccode=401901&preactionid=299ad464-9c3c-4b4f-9631-2feb6e81cd75,36,经验不限,java,2万-4万,本科
北京·西城·金融街,中电金信软件有限公司,http://jobs.zhaopin.com/CC443657520J40384021509.htm?refcode=4019&srccode=401901&preactionid=299ad464-9c3c-4b4f-9631-2feb6e81cd75,37,3-5年,Java开发工程师,1.5万-2万,本科
北京·西城·金融街,北京英诺威尔科技股份有限公司,http://jobs.zhaopin.com/CC136471860J40513923307.htm?refcode=4019&srccode=401901&preactionid=299ad464-9c3c-4b4f-9631-2feb6e81cd75,38,3-5年,java开发工程师（无线）,1.5万-2.2万,本科
北京·西城·金融街,外企德科,http://jobs.zhaopin.com/CC138117190J40569548905.htm?refcode=4019&srccode=401901&preactionid=299ad464-9c3c-4b4f-9631-2feb6e81cd75,39,3-5年,研发【Java/Python/C/C++/Go/Js/Scala】,1.5万-3万·14薪,本科
北京·西城·金融街,学信网,http://jobs.zhaopin.com/CC120365360J40135636713.htm?refcode=4019&srccode=401901&preactionid=299ad464-9c3c-4b4f-9631-2feb6e81cd75,40,1-3年,JAVA软件开发工程师（学信网）,1.2万-2.3万,本科
北京·西城·金融街,北京神州数字科技有限公司,http://jobs.zhaopin.com/CCL1280870410J40251482806.htm?refcode=4019&srccode=401901&preactionid=299ad464-9c3c-4b4f-9631-2feb6e81cd75,41,3-5年,高级Java开发工程师（接受996加班）,1.6万-2.3万·13薪,本科
北京·西城·金融街,北京航天金税技术有限公司,http://jobs.zhaopin.com/CC120510120J40477071314.htm?refcode=4019&srccode=401901&preactionid=299ad464-9c3c-4b4f-9631-2feb6e81cd75,42,经验不限,java开发工程师(应届毕业生),7千-9千,本科
北京·西城·金融街,中国安全生产科学研究院,http://jobs.zhaopin.com/CC460859320J40553316311.htm?refcode=4019&srccode=401901&preactionid=299ad464-9c3c-4b4f-9631-2feb6e81cd75,43,无经验,java开发实习生,200-220/天,硕士
北京·西城·金融街,紫光软件,http://jobs.zhaopin.com/CC137238250J40157128406.htm?refcode=4019&srccode=401901&preactionid=299ad464-9c3c-4b4f-9631-2feb6e81cd75,44,经验不限,Java研发工程师,1万-1.8万·13薪,本科
北京·西城·金融街,北京正成科技有限公司,http://jobs.zhaopin.com/CC513567380J40109481515.htm?refcode=4019&srccode=401901&preactionid=299ad464-9c3c-4b4f-9631-2feb6e81cd75,45,3-5年,Java开发工程师,1.5万-2.2万,本科
北京·西城·金融街,北京通达信科科技有限公司,http://jobs.zhaopin.com/CC401634326J00123462810.htm?refcode=4019&srccode=401901&preactionid=299ad464-9c3c-4b4f-9631-2feb6e81cd75,46,3-5年,Java开发工程师,2万-2.5万,本科
北京·西城·金融街,北京航天金税技术有限公司,http://jobs.zhaopin.com/CC120510120J40217201214.htm?refcode=4019&srccode=401901&preactionid=299ad464-9c3c-4b4f-9631-2feb6e81cd75,47,1-3年,Java开发工程师,1万-1.5万,本科
北京·西城·金融街,北京合力鑫睿信息技术有限公司,http://jobs.zhaopin.com/CC303047910J40501074607.htm?refcode=4019&srccode=401901&preactionid=299ad464-9c3c-4b4f-9631-2feb6e81cd75,48,3-5年,高级java开发工程师,1.5万-2.5万·13薪,本科
北京·西城·金融街,大公国际资信评估有限公司,http://jobs.zhaopin.com/CC000136230J40538477208.htm?refcode=4019&srccode=401901&preactionid=299ad464-9c3c-4b4f-9631-2feb6e81cd75,49,无经验,java软件开发工程师,1万-1.2万·15薪,本科
北京·西城·金融街,北京市建筑设计研究院股份有限公司,http://jobs.zhaopin.com/CC000429130J40525537313.htm?refcode=4019&srccode=401901&preactionid=299ad464-9c3c-4b4f-9631-2feb6e81cd75,50,3-5年,Java开发工程师-数字科技研究院(J10593),面议,本科
北京·西城·金融街,北京京杭天丽科技有限公司,http://jobs.zhaopin.com/CC475832620J40285242108.htm?refcode=4019&srccode=401901&preactionid=299ad464-9c3c-4b4f-9631-2feb6e81cd75,51,无经验,java开发工程师（2024届应届生校招）,1.1万-1.4万,本科
北京·西城·金融街,大公国际资信评估有限公司,http://jobs.zhaopin.com/CC000136236J00196580810.htm?refcode=4019&srccode=401901&preactionid=299ad464-9c3c-4b4f-9631-2feb6e81cd75,52,3-5年,高级Java开发工程师,1.5万-2.5万,本科
北京·西城·金融街,北京奈亚信息技术有限公司,http://jobs.zhaopin.com/CC130401720J40450363201.htm?refcode=4019&srccode=401901&preactionid=299ad464-9c3c-4b4f-9631-2feb6e81cd75,53,经验不限,初级java研发工程师,1.5万-1.6万,本科
北京·西城·金融街,东华软件股份公司,http://jobs.zhaopin.com/CC193399810J40530184507.htm?refcode=4019&srccode=401901&preactionid=299ad464-9c3c-4b4f-9631-2feb6e81cd75,54,1-3年,中级Java工程师（银行系统开发经验）,9千-1.4万,本科
北京·西城·金融街,东华医为科技有限公司,http://jobs.zhaopin.com/CC649781480J40209058105.htm?refcode=4019&srccode=401901&preactionid=299ad464-9c3c-4b4f-9631-2feb6e81cd75,55,1-3年,java全栈开发工程师,1万-2万,本科
北京·西城·金融街,中教畅享科技股份有限公司,http://jobs.zhaopin.com/CC153774310J40151992014.htm?refcode=4019&srccode=401901&preactionid=299ad464-9c3c-4b4f-9631-2feb6e81cd75,56,1-3年,Java开发工程师,1万-1.5万,本科
北京·西城·金融街,东华软件股份公司,http://jobs.zhaopin.com/CC193399810J40397086907.htm?refcode=4019&srccode=401901&preactionid=299ad464-9c3c-4b4f-9631-2feb6e81cd75,57,3-5年,Java开发工程师-本部岗位,面议,本科
北京·西城·金融街,东华医为科技有限公司,http://jobs.zhaopin.com/CC649781480J40531386105.htm?refcode=4019&srccode=401901&preactionid=299ad464-9c3c-4b4f-9631-2feb6e81cd75,58,3-5年,Java工程师,1万-1.5万,本科
北京·西城·金融街,深圳建广数字科技有限公司青岛分公司,http://jobs.zhaopin.com/CCL1320891960J40433150611.htm?refcode=4019&srccode=401901&preactionid=299ad464-9c3c-4b4f-9631-2feb6e81cd75,59,3-5年,java,1.4万-2.8万,学历不限
北京·西城·金融街,东华软件股份公司,http://jobs.zhaopin.com/CC193399810J40350919507.htm?refcode=4019&srccode=401901&preactionid=299ad464-9c3c-4b4f-9631-2feb6e81cd75,60,3-5年,中、高级Java开发工程师,面议,本科
